id,date,ticker,tweet
100001,01/01/2020,AMZN,$AMZN Dow futures up by 100 points already 🥳
100002,01/01/2020,TSLA,$TSLA Daddy's drinkin' eArly tonight! Here's to a PT of ohhhhh $1000 in 2020! 🍻
100003,01/01/2020,AAPL,$AAPL We’ll been riding since last December from $172.12 what to do. Decisions decisions hmm 🤔. I have 20 mins to decide. Any suggestions?
100004,01/01/2020,TSLA,"$TSLA happy new year, 2020, everyone🍷🎉🙏"
100005,01/01/2020,TSLA,"$TSLA haha just a collection of greats...""Mars"" rofl 😈😎🌠⏫🔮💸👏💪🚀🎆🎇📣🎉🎊 *bork*"
100006,01/01/2020,TSLA,"$TSLA NOBODY: Gas cars driven by humans killed 1000s upon 1000s in 2019.

Tesla shorts: OMG DID YOU HEAR 2 PEOPLE DIED FROM A TESLA CRASH😱"
100007,02/01/2020,AAPL,$AAPL $300 calls First trade of 2020 Congrats to all bulls 😈
100008,02/01/2020,AAPL,"$AAPL Remember, if you short every day, one of those days you will be right 😏"
100009,02/01/2020,AAPL,"$AAPL called it, the bear comment below makes me chuckle inside. So sweeet 😜"
100010,02/01/2020,HD,$HD Bought more at today's low. She is turning. Stars aligned.🤞
100011,02/01/2020,AAPL,Apple is taking things UP in 2020 🚀🚀 $AAPL
100012,02/01/2020,AAPL,$AAPL not a bad day wish I wouldnt have sold those 20 300 calls on monday. Still took a decent profit for next week calls though 🤑🤑
100013,02/01/2020,AAPL,$AAPL where are all the peeps posting bearish since $200🤣
100014,03/01/2020,NVDA,$NVDA This should be at least 300 already 🤔💹💸💸
100015,03/01/2020,AAPL,$AAPL tomorrow buy time on the dip then green 🐋🏛💰
100016,03/01/2020,AAPL,$AAPL Thanks for that dip. Let the bears talk their gibberish and ignore it. 😆
100017,03/01/2020,AAPL,$AAPL leave enough red to buy calls at open 🙏
100018,03/01/2020,AAPL,$AAPL short this bears 🖕🖕🖕. Never go against Apple.
100019,03/01/2020,TSLA,$TSLA  I must rise to a level where winning does not elate  me and losing does not deflate me. But it's not going to happen today.😊😊😊😊
100020,03/01/2020,TSLA,$TSLA shorts are f u c k e d 💣
100021,03/01/2020,TSLA,$TSLA Don’t short. It’s a Trap lol 😂 see you at 7% + up day
100022,03/01/2020,AMZN,$AMZN who ever shorted today will be deported from US if you are immigrants 😀
100023,03/01/2020,TSLA,$TSLA 🐻 not see anything like this with Tesla stock in the last 3 years. It'll be an EPIC year in 2020 when model Y roll out in summer.
100024,03/01/2020,TSLA,$TSLA  can one hear the bear as it cries in the forest?😂😂😂
100025,03/01/2020,TSLA,$TSLA Ignore the clowns and bears!  Marvelous opportunity awaits the longterm bulls!🤡🐻
100026,03/01/2020,GOOGL,$GOOGL good thing I loaded up on puts 🥱
100027,03/01/2020,AAPL,"$AAPL $1,000 by the end of January 😂"
100028,06/01/2020,AAPL,$AAPL it’s just too funny and easy to laugh at bears at this point. Why don’t you guys do something useful like find a good job so you can afford to buy Apple instead of just posting jealous hate and looking like a 🤡
100029,06/01/2020,AAPL,"$AAPL once hits 300 today, needs another 100 points to reach 400 like that smart gentleman said on CNBC this am 👍🏽"
100030,06/01/2020,AMZN,$AMZN I hope we can come close to touching 2000 either tomorrow or Wednesday 😭
100031,06/01/2020,TSLA,"$TSLA  Squeal like a pig, Chanos! Squeal like a pig!! 🐖"
100032,06/01/2020,NFLX,$NFLX 🔥🔥🔥✈️ 336 test to possibly test 340s tomorrow / ALL DAY mentions since open 😎⭐️
100033,06/01/2020,TSLA,$TSLA shorts thought they are making a quick and easy bet.....hahhaha 🖕
100034,06/01/2020,TSLA,$TSLA if you had only listened bears... 🤦🏻‍♂️
100035,06/01/2020,TSLA,Once again $TSLA keeps roasting the shorts🔥📈
100036,07/01/2020,TSLA,$TSLA BUT BUTT WW3? 😢 Screw the sink this stock has had the whole house thrown at it and still goes up. You bears are real 🤡 s
100037,07/01/2020,TSLA,$TSLA Congratulations to Elon and SpaceX for another successful drone ship landing. ...the man is in the zone!! 🚀
100038,07/01/2020,FB,"$FB Finally gapped up. Took a year and half to do it, but f’ck it feels good. Long and strong 💪🏼. Let’s keep this train moving. Still has some more to go before I’ll even consider selling my calls of any of my shares."
100039,07/01/2020,TSLA,$TSLA these bears constantly post old a$$ pics of crashed Tesla’s hahahahaha. Have you not learned yet I’m pretty sure your account learned by now 😜🔥 🚀 Hope you readyyyy for what’s next 😉
100040,07/01/2020,TSLA,$TSLA Top of the channel $485 believe it 💰
100041,07/01/2020,TSLA,$TSLA wow jpm with a whole $20 😂😂😂
100042,07/01/2020,DIS,"$DIS Just keep falling, just keep falling, just keep falling falling falling. What does DIS do all month? Falling falling falling 😂
-Dory"
100043,07/01/2020,AAPL,$AAPL Bears & Shorts Later Today 😂😂😂
100044,07/01/2020,TSLA,$TSLA head fake w more short covering. 👑
100045,07/01/2020,BA,$BA  Stocks usually look bearish until they don’t lol. BA BA BOOM 🤯
100046,07/01/2020,WMT,I would of thought $WMT would have got hit a little harder with that 54.6 million dollar lawsuit they just lost for not paying their drivers. 😯
100047,07/01/2020,TSLA,"$TSLA bears 🐻 I say, you really do have some good points, and you’re right this may pull back, but why would you get in front of this right now? Or over the last month? There’s other opportunities out there even for your hateful selves"
100048,07/01/2020,TSLA,$TSLA $470 by open tomorrow. Get your electric rocket ships ready we going to the moon 🔌🚀
100049,07/01/2020,TSLA,$TSLA have only 2000$ im not going far with this at this point 🤔
100050,07/01/2020,TSLA,$TSLA man I can't wait till the day Tesla start paying out dividends... once that announcement happens the stock will explode before the Ex-date 💪💪🏿
100051,07/01/2020,FB,$FB stop selling!! My $215 weekly calls are getting wrecked! 😒
100052,07/01/2020,TSLA,$TSLA should i do a search of all the “mark this post” from the bear shorts that have been fried the last month? 🤡
100053,07/01/2020,AMZN,$AMZN CONGRATS TO ALL THE LONG - there were some trying times but our patience IS being rewarded- lots more to come 🙏🏽
100054,07/01/2020,TSLA,$TSLA we’ll it’s not &BYND mane it’s not too late to buy 🤦🏽‍♂️ just maybe
100055,07/01/2020,TSLA,"$TSLA yep, especially put buyers and call chasers oof 😂😂😂🐷"
100056,07/01/2020,AAPL,$AAPL who is ready to open tomorrow  at $290. It’s time 🐷
100057,07/01/2020,AAPL,$AAPL Green by morning my ass!! Y’all should have taken profits 😂🤦🏻‍♂️👀🍎
100058,08/01/2020,AAPL,$AAPL buy 300 call easy money 🤣🤣🤣🤣🤣🤣🤣🤣
100059,08/01/2020,AAPL,$AAPL maybe dan Ives at Wedbush can reimburse all you chasers for your losses. Or maybe not 😂😂
100060,08/01/2020,TSLA,$TSLA another target raised to $556 wow. When the dust settles this will 🔥 🚀  😉
100061,08/01/2020,TSLA,$TSLA if this takes a big dip tomorrow morning I’m closing all my hedges and rolling my $525k of sub $300 strike Jan 17 calls up to $400+ strike calls... bring it on 🐻
100062,08/01/2020,TSLA,$TSLA wow it's great to wake up to this! This is going to open at 475 and maybe hit 500 today!!! 😍🙃
100063,08/01/2020,TSLA,"$TSLA Bullish AF to the mewn, but that 15 point bubble-pop drop last night was not a good feeling while holding calls 🤢🤮 *bork*"
100064,08/01/2020,DIS,"$DIS small piece of advice, if you’re long calls, turning them into spreads before close really helps reduce risk. Then you can close the short leg out in the morning, usually for a profit when things are starting to look bullish again 😁"
100065,08/01/2020,TSLA,"$TSLA Oh yeah, was that yesterday? 30 point run. 🚀 Give me $489!"
100066,08/01/2020,TSLA,"$TSLA I just took profits and resized my position a few days ago, soon I’ll be doing it again. 🚀"
100067,08/01/2020,AAPL,$AAPL with all time highs again the market seems to enjoy war very much🤔
100068,08/01/2020,TSLA,$TSLA Bwahahaha there isn’t a thing capable of stopping this train 🥳
100069,08/01/2020,TSLA,$TSLA who’s making tendies 👀 missed this run
100070,08/01/2020,AAPL,$AAPL short term 🐻 people need to pull some off the table with all uncertainty floating around. This is just dicey
100071,08/01/2020,TSLA,$TSLA people seem to have forgotten about the energy business👀
100072,08/01/2020,TSLA,"$TSLA i thought $500 by end of week, not middle of week 🤣🤣"
100073,08/01/2020,AAPL,$AAPL What makes bulls believe that Terrorist will stop 🛑 launching rockets 🧨
100074,08/01/2020,TSLA,$TSLA grabbed a $500 call and flipped it for over 100%. Paid for my loser put and then some. Rolled over to a $515. Let’s keep the party going. 🚀🌙
100075,08/01/2020,TSLA,$TSLA remember this? Now it seems like a distant memory... 2 weeks ago 😁
100076,08/01/2020,TSLA,$TSLA bunch of cocaine and two chicks at the same time 📈💸
100077,08/01/2020,AAPL,$AAPL hahaha many bears buying put/sell. Strong strong but we wanna see 305 before close hahaha🤣💯👆💹💵
100078,08/01/2020,TSM,$TSM ...we will definitely close at $59 today.😎
100079,08/01/2020,BABA,"$BABA yeez guys, dont sell off now ... this dragon has just started to fly 💸💸💸💸💸"
100080,08/01/2020,DIS,$DIS Since July 2019 DIS has gone up 0% I’m guessing it will continue going sideways 😢
100081,08/01/2020,TSLA,$TSLA this is WILD. And I’m loving every bit of it 🤑
100082,08/01/2020,TSLA,$TSLA For years Kind of going nowhere.. Now the most loved company in the world 💵 💵
100083,09/01/2020,TSLA,Tesla shorts waiting on the market to open this morning ...  $TSLA 😍
100084,09/01/2020,TSLA,$TSLA so happy I don't have to get Elon tatted on me 😂 Tomorrow hit 500+ sweet cheeks 😘
100085,09/01/2020,TSLA,$TSLA ahh it’s gonna be another good day tomorrow if the futures keep ripping😎🎯
100086,09/01/2020,TSLA,$TSLA Did Elon do another dance today?..cause I love it when he dances..such a good dancer!😆😉
100087,09/01/2020,TSLA,$TSLA how I wish I didn't sell at $470! 😳😅
100088,09/01/2020,AAPL,"$AAPL again, shorts gonna buy put and sells, scared traders gonna take profit and selling shares/calls 😂 if thats gonna happen, BUY THE DIPS! HOLD AND GO LONG! BUY NEW CAR OR WHAT EVER! 👆💯💵🤲💹 End with 310-315 this week end next week"
100089,09/01/2020,TSLA,$TSLA Little dip to lure them in & then BOOM 💥 $505
100090,09/01/2020,TSLA,$TSLA Puts the art in fart🚀🚀🚀
100091,09/01/2020,AAPL,$AAPL time to take a breather 😎
100092,09/01/2020,TSLA,$TSLA Waiting for that hot & moist reversal 😋
100093,09/01/2020,TSLA,$TSLA 500+ eod no worries 😉
100094,09/01/2020,V,$V people Shopped Non stop during the holiday season and now Gas stations in US requires all pumps to upgrade to pay by Credit cards ....Now you can tell where VISA is heading too ...easy 220 🙏🙏🙏🙏🚀🚀🚀🚀🚀🚀❤❤❤❤
100095,09/01/2020,SBUX,$SBUX following through nicely as shown in yesterday’s tweets. 👍💪🙏🤑
100096,09/01/2020,AMZN,$AMZN Now it’s moving with the market 😂
100097,09/01/2020,TSLA,$TSLA who else bought the dip 💰🤑
100098,09/01/2020,DIS,$DIS down 0.27% pretty much the expected daily return 🤷🏼‍♂️
100099,09/01/2020,AAPL,$AAPL nice to look at my account today and see my shares up over 100% and climbing. 👏🏻👏🏻
100100,09/01/2020,SBUX,"$SBUX I drink enough coffee, I’m investing 💪🏼"
100101,09/01/2020,TSLA,"$TSLA looking like no 470 today, feel good about getting there tomorrow ✌️"
100102,09/01/2020,FB,$FB VERY NICE GAINS TODAY.... thank you  Gotta run.... can’t be greedy right? GLTA!!!!! Hope you guys get to 220+👍👍👍
100103,09/01/2020,AAPL,$AAPL Apple is going to keep on Running! Undervalued 🚀🚀🚀
100104,09/01/2020,FB,$FB looks likes she’s going to run tomorrow she’s lagged and broke out yesterday 👍🏻👍🏻
100105,09/01/2020,TSLA,$TSLA Funny How Bulls were thinking 500+ then they got a reality check today 😂
100106,10/01/2020,BA,$BA BOEING is a bear proof stock. 😂
100107,10/01/2020,TSLA,$TSLA The steepening of this move has me licking my chops for some bull 🥩
100108,10/01/2020,BA,$BA new CEO already cleaning out the dirty laundry—👍🏻 $340
100109,10/01/2020,NVDA,$NVDA i love when I’m right 🙏🏼 💰💰💰💰💰💰💰💰
100110,10/01/2020,TSLA,$TSLA reminds me of yesterday’s PM. Just sayin’ 🤷‍♂️
100111,10/01/2020,TSLA,$TSLA 5 yr Chart! When a stock doubles in less than 2 months it's a good idea to ring the register or get slammed. 💡
100112,10/01/2020,AAPL,$AAPL thanks bears! ATH. 50% profit on calls overnight 👍🏻👍🏻
100113,10/01/2020,BA,$BA that email leaked was a huge nothing burger 🤣🤣
100114,10/01/2020,TSLA,$TSLA good morning longs. How are those purchases near 500 looking now? BAHAHA 😅🤣🤣😅🤣🤣😅😅🤣🤣
100115,10/01/2020,BA,"$BA about to explode 🚨
Keep shorting please"
100116,10/01/2020,TSLA,"$TSLA i think in honor of elon... all the bears need to throw out the memes, and we all post our own snaps wearing short shorts 🤪🤡🐻♥️.  on next drop"
100117,10/01/2020,TSLA,$TSLA is very overvalued. Drops like a rock soon 🤷‍♂️
100118,10/01/2020,NFLX,$NFLX Morningstar’s fair value estimate is $135 😳
100119,10/01/2020,TSLA,$TSLA TSLA Puts and AAPL Calls💵👍🏼
100120,10/01/2020,BA,$BA is there any clown 🤡 than this man
100121,10/01/2020,AAPL,$AAPL all those called getting burnt 🥵
100122,10/01/2020,TSLA,$TSLA making money 💰 love to short this pig 🐷
100123,10/01/2020,TSLA,If your stock needs the CEO to tap dance (instead of actually making a profit) maybe you joined a cult. 🤷‍♂️ $TSLA
100124,10/01/2020,TSLA,$TSLA ouch 🤕 honestly it will bounce back next week hope I can take a position
100125,10/01/2020,TSLA,$TSLA Ruh Roh bulls...this is not looking good 😱
100126,10/01/2020,TSLA,$TSLA Suddenly bulls are not so sure anymore🤔... say hello to $450 sooner than you think
100127,10/01/2020,DIS,"$DIS So many perma-bulls 🤦‍♂️... wake up, this isn’t moving until earnings."
100128,10/01/2020,AAPL,"$AAPL i missed something.. Was whole day off, i couldn't buy anything. But i see bulls are fine! 330+ after earnings! Go short/longterms!  Have a great weekend💵💯🎊"
100129,11/01/2020,BA,$BA 😂 you pumpers are hilarious! « Going to 400$..... » like the Max problems never happened 😂
100130,11/01/2020,AAPL,$AAPL pre-game: Apple AirPods and Apple Beats everywhere on these players. 🏈 💰
100131,12/01/2020,AAPL,$AAPL waiting for a new dip tu buy 💪🏻
100132,13/01/2020,AAPL,$AAPL has been undervalued for a long time and they are blowing out all the numbers with the IPhone 11🚀❤️ $320 today or tomorrow .
100133,13/01/2020,AAPL,$AAPL no need to panic we know where we’re going!😎🥳
100134,13/01/2020,TSLA,$TSLA too good to be true but $600 After ER💪💪💪💪🚀🚀🚀
100135,13/01/2020,AAPL,$AAPL Still way undervalued. Looking forward to the next ER! 🤙
100136,13/01/2020,TSLA,$TSLA i try hard not to laugh at you 🐻
100137,13/01/2020,TSLA,$TSLA to the fooooookin moon 🚀🚀🚀 i ALMOST feel bad for the bears 😂😂😂
100138,13/01/2020,TSLA,$TSLA bringing my profile back to life thank you Elon 🧖🏽‍♂️
100139,13/01/2020,TSLA,$TSLA so which analyst is gonna come out next and upgrade to a buy 😂 imagine a 80% buy rating after earnings 🤯
100140,13/01/2020,TSLA,$TSLA Big tip in last month!👇👇👇✅
100141,13/01/2020,BAC,C'mon $BAC my bird needs to eat. I'm running low on laundry detergent and tired of eating canned tuna for the 14th week straight. Give me my money! 💸💸💸
100142,13/01/2020,TSLA,"$TSLA  just to be fair, this was one of the MANY warnings I gave the bears in the low $200 / high $100 range. 😌"
100143,13/01/2020,BABA,$BABA excited for HK open today hehehe. Congrats again to all us bulls here 👍 May we continue to be prosperous
100144,13/01/2020,TSLA,$TSLA And to say I was underwater on Friday is an understatement. Did not know these would be worth 50k in a day. 🤠
100145,14/01/2020,BABA,$BABA bought at $80.   Sell time or run?💸🤑🚀
100146,14/01/2020,TSLA,$TSLA Ridiculous. 600 by Friday at this rate 😭
100147,14/01/2020,AAPL,$AAPL wow!! unbelievable this thing is trying to reach the stars lol 😆
100148,14/01/2020,BABA,$BABA could be some short term hooplah here at the 230's? Anyone's guess!! 😂 Would be nice though to get a wittle dip  🤷
100149,14/01/2020,TSLA,"$TSLA Rising strong on China News! Nice!! 
👍💵💵💵"
100150,14/01/2020,BA,"$BA designed by 🤡 supervised by 🐒’s... I’m a Boeing fan, but this needs a flush to 260 before it can heal."
100151,14/01/2020,TSLA,$TSLA looking at my inflated account like the wheels on a  Tesla mobile...🤗
100152,14/01/2020,AMZN,"$AMZN dec. 24th, 31st, and Jan 7th were all gap up days...last 3Tuesdays....let’s hope today is the 4th 🤞🏻📈"
100153,14/01/2020,TSLA,$TSLA That's right Cramer keep pumping I love it🥰🥰🥰🥰🥰
100154,14/01/2020,AAPL,"$AAPL 

Don’t say wait u didn’t tell me lol over 100% 👀"
100155,14/01/2020,TSLA,$TSLA $612 target now let gap and go baby 🚀🚀🚀
100156,14/01/2020,TSLA,$TSLA there you had your dip... cover 😂😂😂
100157,14/01/2020,DIS,$DIS Hey u know what I just bought Puts to see if I might make up my call losses 😂
100158,14/01/2020,BA,"$BA told myself to stay away but that dip in the morning was way too tempting, thanks to whoever bought puts at the bottom this morning 🤣🤣🤣"
100159,14/01/2020,BA,$BA still negative in this position but holding on tight and patiently waiting for its time in the 500s!!😀
100160,14/01/2020,TSLA,$TSLA Short or long here.... that is the question. 🤔🧐
100161,14/01/2020,UNH,$UNH this is actually gonna go in to red before earnings 😂😂
100162,14/01/2020,XOM,$XOM Just keep adding under $70! 💰
100163,14/01/2020,TSLA,$TSLA shorts selling to shorts....like a hot potato 😄
100164,14/01/2020,TSLA,$TSLA wants to dance . Up and down ..... either into close we will see $550 or tommorow morning 🚀
100165,14/01/2020,DIS,$DIS the film 🎞 1917 made more than Star Wars this past weekend. Star Wars and Frozen 2 not even nominated for the Oscars
100166,14/01/2020,TSM,"$TSM is a winner. Every 5G phone will have a more advanced semi conductor then what’s in phones now. 5G is going to huge over 4G. TSM is going to be selling to everybody, phones, gamers, cars, medical and on an on. I think we enjoy the ride ✈️✈️✈️"
100167,14/01/2020,TSLA,"$TSLA locked in with small position 1/24 weekly calls I caught after the dip this am. Y’all know what that ah and pm action looks like 🎇, but trade with some dd imo"
100168,14/01/2020,AAPL,$AAPL lmao there it is!! Bye bye AAPL!! 😂🐻
100169,15/01/2020,AAPL,"$AAPL is amazing, the best! But these evaluations folks..... 👎👎👎"
100170,15/01/2020,AAPL,$AAPL 🐻 Guess that FED pumping is over for them now.
100171,15/01/2020,AAPL,$AAPL no one buying this bs but the fed and Apple. So hope you bulls get some buy backs soon!! 🤣😂🤣😆🙄
100172,15/01/2020,TSLA,$TSLA uh oh!  Looks like this is the day this epic run comes to a grinding halt and falls off a Cliff.  What are you thinking bears?  Down 1 or 2% today?  🤡
100173,15/01/2020,AAPL,$AAPL poor sales for their gadgets at target stores lol 🤣😅🤣😅😂😅
100174,15/01/2020,TSLA,$TSLA my calls are for next week👍  No worries
100175,15/01/2020,SBUX,"$SBUX TPO alot of volume at 91.74, thats after a strong run up...🤔"
100176,15/01/2020,TSLA,"$TSLA oh no, down 1.0% 😪😯 Why didn't I listen to you bears?! errrrrrrrrrrrrrrrrrrr Elon"
100177,15/01/2020,BAC,"$BAC time to grab some calls 
💵"
100178,15/01/2020,TSLA,$TSLA i thought we were gonna see the 400s😂😂😂😂
100179,15/01/2020,TSLA,$TSLA I’m long bullish but I rather not have Elon get 346million richer keep that money in the company until end of the year 😢
100180,15/01/2020,DIS,"$DIS where would this be without download numbers news and yet another upgrade ? 🤔 frustration continues. Hard to trade, easy to keep long."
100181,15/01/2020,TSLA,$TSLA was this the hundred dollar drop dem bears said was gonna happen today? Hahahahaha 😂😂😂😂😂
100182,15/01/2020,BA,$BA will you just capitulate already?!🤦‍♂️
100183,15/01/2020,TSLA,$TSLA don’t worry guys I’m sure it won’t fall far. it’s only 140 points over the 50 day  moving average and 240 over the 200 day moving average 😂😂😂
100184,15/01/2020,TSLA,$TSLA come on Bulls! Buy the dip!! 🤣🤣
100185,15/01/2020,TSLA,"$TSLA woof, Tesla bears being fed today. 📉"
100186,15/01/2020,AAPL,$AAPL Here’s a glimpse at ER. Y’all are done!! 😂
100187,15/01/2020,TSLA,$TSLA This company doesn't produce a profit and relies on government handouts yet you guys wanna buy for $500+ 🤪
100188,15/01/2020,TSLA,$TSLA holding puts that are already up so unless this opens up $15 I’ll still be in the money 😂
100189,16/01/2020,TSLA,$TSLA what a bull trap that was. They pulled the rug right before AH ends 😂
100190,16/01/2020,TSLA,$TSLA maybe hold off and buy the dip next month 🤷‍♂️
100191,16/01/2020,DIS,$DIS $143 at open and then $142 at close 😂 my Puts will be juicy!!
100192,16/01/2020,V,$V some stocks are set it and forget it stocks and this happens to be 1 of them! Add when it dips and keep it trucking! 🤷🏿‍♂️
100193,16/01/2020,TSLA,"$TSLA could drop 20% in the next two days 😢 that bring US to a Pt of 414,44$ by friday evening ⬇️"
100194,16/01/2020,TSLA,$TSLA Big drop today. Less Bullshit talk I can imagine. Healthy pullback 😂
100195,16/01/2020,TSLA,$TSLA why would anyone hold this rn 😂
100196,16/01/2020,BA,$BA Fishy fishy stuff going on here. Well we all know when BA gets bad news it goes up lol 😂 load up on them calls guys.
100197,16/01/2020,TSLA,$TSLA open this under 500 let’s see some fireworks 💥
100198,16/01/2020,TSLA,"$TSLA Dont be GREEDY get out of Tesla while you are in profits...Anything which goes up crazy in short time, will have to come down..dont feel bad later 😂😂"
100199,16/01/2020,TSLA,"$TSLA 🎶Head, Shoulders, knees and toes🎶"
100200,16/01/2020,TSLA,$TSLA Break below 497 expect a massive drop today. As much as I enjoyed the ride up with you bulls let’s scalp🚀
100201,16/01/2020,TSLA,$TSLA the bulls yesterday were like the bitconnect guy... 😂
100202,16/01/2020,TSLA,$TSLA where are all of the Robin Hood rookies at ?📉
100203,16/01/2020,TSLA,$TSLA buy the dip they said it will be fun they said you ill make money they said...lmfao🤣🤣🤣
100204,16/01/2020,TSLA,$TSLA red waterfalls again at support break .... Morgan Stanley $360 😂
100205,16/01/2020,AAPL,$AAPL I guess it’s time to readjust my screen cuz I can’t see where it’s stopped to. 😂
100206,16/01/2020,TSLA,$TSLA the fight b/w bulls and bears is unreal🧐 this might settle at 500ish eod
100207,16/01/2020,AAPL,$AAPL Anyone here happen to be holding $300 Puts ? 👀
100208,16/01/2020,AMZN,"$AMZN we still have 5mins, we can still sho9t up $30!! 😂😄🤣"
100209,17/01/2020,DIS,"$DIS Got impatient. Back in for the ride. Leaving plenty of dry powder, if it goes down further. 🤞🤞🤞🤞🤞🤞🤞"
100210,17/01/2020,TSLA,$TSLA YOU ARE ALL SO FUCKED 🥴⬇️
100211,17/01/2020,TSLA,$TSLA second day with bearish gaap! 📉📉📉
100212,17/01/2020,TSLA,$TSLA Something I love to do is scanning for highest weekly flow 10 Minutes before close. Always get some beautiful runners 💪
100213,17/01/2020,DIS,$DIS Can we get one morning without a dump? 🤞🏼
100214,17/01/2020,V,$V Institutions are buying and you are selling ...🙏🙏🙏 for the cheap shares in few years 200 will look darn cheap .....put your $$$ in my pocket 😂😂😂
100215,17/01/2020,TSLA,$TSLA Investigation coming... I’m out! Will wait for a lower entry point! Good luck to you all! 💸💸 Very good profit so far 🍾
100216,17/01/2020,AAPL,$AAPL beautiful stair step pattern continuing with eventual resolution to the upside. Stock still cheap forward looking and earnings are gonna be 💯.
100217,17/01/2020,TSLA,$TSLA maybe a dump before the long weekend? 🤷‍♂️
100218,17/01/2020,TSLA,"$TSLA fib level broke, going back to $492. If that breaks we can see $480 today 😬"
100219,17/01/2020,TSLA,$TSLA  All aboard  the tank train 🚂
100220,17/01/2020,TSLA,$TSLA what happened to all those intolerant“bulls” who are attacking anyone with a negative view on trashlacoin? I guess they are busy figuring out what to do after losing a huge bundle today 🤒
100221,17/01/2020,TSLA,$TSLA where Tf are my telsa bulls? 💀💀
100222,17/01/2020,BA,$BA  everyone wanting in better get in.  The earnings are figured into these levels.  🚀🚀🚀
100223,17/01/2020,DIS,"$DIS if it finishes here in an hour, then I correctly predicted two closes in a row. 🍪"
100224,17/01/2020,BA,$BA $320 and your 🥜 will be tested soon!  When’s the 737 Max redesign coming out?
100225,17/01/2020,AAPL,They really hate $AAPL in this 317 area 🥴
100226,17/01/2020,DIS,$DIS Stocks hit record highs simply means DIS is dipping 😂
100227,17/01/2020,BA,$BA ok this is what I’ve been waiting for 😁👍 close it on up bulls so I can grab some more puts on a discount.
100228,17/01/2020,BA,$BA offer more for that delta and I'll buy 50 more puts 😉
100229,17/01/2020,TSLA,"What, you thought unprofitable $TSLA was just going to go up and up forever? 📈"
100230,17/01/2020,GOOGL,$GOOGL just print 1480!!!!!! Please🙏
100231,17/01/2020,AAPL,$AAPL 🐻 s r speechless n has reached a new level of insanity😂😂😂 super
100232,17/01/2020,MSFT,$MSFT What’s everyone’s PT for open on Tuesday? 🤑🤑
100233,18/01/2020,TSLA,"$TSLA 🤔🤔🤔. Have a good weekend everyone. Time will tell where this goes, but I like the action right now. It needs a correction before earnings."
100234,18/01/2020,TSLA,$TSLA down 6$ afterhours right now 🤔
100235,18/01/2020,TSLA,"$TSLA 480 450 420 400 who’s fault is it when these number show up near term 😂 lambos bruh $6,000 next week bruh 🤣"
100236,18/01/2020,TSLA,"$TSLA Sry bulls. Gap down Tuesday, sell off below 492 🤷‍♂️📉📉"
100237,18/01/2020,NFLX,"$NFLX 💵 booked a week earlier, ER scares me"
100238,19/01/2020,AAPL,$AAPL loaded puts on this one for post earnings collapse !!! 🤣😂🤣😂🤣
100239,19/01/2020,AAPL,$AAPL ready to get my down payment for my house next week 🤑
100240,21/01/2020,AAPL,$AAPL bulls believing every day green 😄
100241,21/01/2020,BA,$BA dont miss the next leg 👇
100242,21/01/2020,TSLA,$TSLA   Shorts kinda left us...I think they went to BA. Much weaker than we are. 😂🚀
100243,21/01/2020,AMZN,$AMZN sooooo we’re going to the moon right 🤣🤠😂🙏🇺🇸🚀🇺🇸🚀🇺🇸
100244,21/01/2020,BA,$BA You made me so much money today I could kiss you. 😍
100245,21/01/2020,AMZN,$AMZN 🔮 new all-time high coming this week. It’s time.
100246,21/01/2020,TSLA,$TSLA about to start up again! 🚀
100247,21/01/2020,BA,$BA open 300 its incoming all big money go ah😂 rats run in dark👆
100248,21/01/2020,BA,$BA $175 price target 2020 🚂 all aboard!!!! PUTS are on fire 🔥
100249,21/01/2020,TSLA,$TSLA might really run to 600 😦
100250,22/01/2020,TSLA,"$TSLA y’all need to realize that indicators don’t always work (I think they never work). Think about it, if they worked that great we would all be millionaires in a week! I don’t wanna hear about how the rsi is so high etc🤪"
